iter	MultiClass
0	1.293985409
1	1.216880416
2	1.129054798
3	1.065985568
4	1.012200026
5	0.9688038255
6	0.923348346
7	0.8772279912
8	0.834958172
9	0.8001886697
10	0.7706918471
11	0.7400184012
12	0.7200686373
13	0.6920195231
14	0.6672540403
15	0.6503053422
16	0.6295041536
17	0.6031368858
18	0.5828439638
19	0.5666216943
20	0.5462603645
21	0.5307857335
22	0.5132444408
23	0.4991992636
24	0.4864617362
25	0.4757182529
26	0.4631055616
27	0.4548941148
28	0.4424180584
29	0.4324336081
30	0.4265902783
31	0.4209582387
32	0.4162011287
33	0.4086125622
34	0.403744791
35	0.3971053154
36	0.3911572759
37	0.3846221818
38	0.3770994776
39	0.3722341273
40	0.3679127559
41	0.3646957176
42	0.3592955238
43	0.3541745765
44	0.3505303627
45	0.3446373704
46	0.3410439089
47	0.3375625744
48	0.3344123301
49	0.3301934016
50	0.3291107707
51	0.3232677436
52	0.3217730651
53	0.31948886
54	0.316428463
55	0.3137886905
56	0.310839455
57	0.3075839024
58	0.3025664084
59	0.2994597474
60	0.2969043339
61	0.2945133282
62	0.2914353715
63	0.2873188281
64	0.2850379119
65	0.2835522712
66	0.2802008201
67	0.2780099195
68	0.2748588399
69	0.2725643543
70	0.2703640318
71	0.2657918391
72	0.2638270906
73	0.2623369911
74	0.2574887519
75	0.2553976823
76	0.2535465463
77	0.2507496534
78	0.2466501896
79	0.2453763766
80	0.2429356538
81	0.2411934468
82	0.2390434178
83	0.2372293939
84	0.2350068165
85	0.2332557416
86	0.2319207468
87	0.230514605
88	0.2291961783
89	0.2264271079
90	0.225139103
91	0.2228850396
92	0.2205910744
93	0.2181015426
94	0.2171413714
95	0.2144676218
96	0.2116492581
97	0.2093737416
98	0.2076278003
99	0.2060194742
100	0.2038917828
101	0.2018133046
102	0.2001274205
103	0.1982165773
104	0.197703497
105	0.196476453
106	0.1954406578
107	0.1935329518
108	0.1909630014
109	0.1898558012
110	0.1885443955
111	0.1870775676
112	0.1852157815
113	0.1838582378
114	0.1830244074
115	0.1824687837
116	0.1817689833
117	0.1800663871
118	0.1795126248
119	0.1780314434
120	0.1765227658
121	0.174356325
122	0.1730373542
123	0.172105431
124	0.1714179829
125	0.1688653881
126	0.168109407
127	0.1665372644
128	0.1648348345
129	0.1638019472
130	0.1631040042
131	0.1620458369
132	0.1603155257
133	0.1595762142
134	0.1579046907
135	0.1575767051
136	0.1561750391
137	0.1550322657
138	0.1531557597
139	0.1523077724
140	0.1512829685
141	0.1507934538
142	0.1500250225
